web-scraper-order,web-scraper-start-url,banner-image-src,product_name,price,ratings,ship_from,banners,has_video,product_image-src,is_ad,sold,shipping_speed
"1730178464-1","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","(แพ็ค3ถุง)ชามัซ ชาไทย แท้ สูตรสุขภาพ  MUZ Thai Teaไม่มีครีมเทียม หอม อร่อย 3in1 (1ถุง/15ซอง)","540","4.9","จังหวัดกรุงเทพมหานคร","โค้ดลด ฿99","badge-video","https://down-th.img.susercontent.com/file/th-11134207-7r98r-lqbcfojl8ysa32_tn.webp","","ขายแล้ว 565 ชิ้น","2-3 วัน"
"1730178464-2","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r990-lza9higk3xrdd5","ชานมไข่มุกโอฉะซัง(ขนาด 230 มล.) สูตรบราวน์ชูการ์ 24 กระป๋อง","565","4.9","จังหวัดปทุมธานี","โค้ดลด 10%รับสินค้าฟรี","","https://down-th.img.susercontent.com/file/th-11134207-7qul3-lgt848s33rhw08_tn.webp","","ขายแล้ว 197 ชิ้น","2-3 วัน"
"1730178464-3","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","🎀 สตาร์บัคส์ดอลเช่กุสโต้มัทฉะลาเต้ 12แคปซูล 148.2กรัม 🍧 Starbucks Dolce Gusto Matcha Latte 12Capsules 148.2g. [8934804","569","","จังหวัดกรุงเทพมหานคร","","","https://down-th.img.susercontent.com/file/th-11134201-7r991-lzh58rvasby92d_tn.webp","","","2-3 วัน"
"1730178464-4","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","ผงชาเขียวมัทฉะ ไร่พระจันทร์  Matcha Powder กระปุก 100 กรัม","118","5.0","จังหวัดกรุงเทพมหานคร","ช้อปปี้ถูกชัวร์","","https://down-th.img.susercontent.com/file/sg-11134201-7rdwt-lz4cxsuwt0jr6c_tn.webp","","ขายแล้ว 31 ชิ้น","2-3 วัน"
"1730178464-5","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","FocusHerb ผงมัทฉะออร์แกนิค เกรด AAA 200g (Organic Matcha Powder) เกรดพรีเมียม ชงชา ทำขนม เครื่องดื่มเพื่อสุขภาพ","269","4.9","จังหวัดสมุทรสาคร","โค้ดลด 5%รับสินค้าฟรี","badge-video","https://down-th.img.susercontent.com/file/th-11134207-7r98s-ly08eixkotlbdb_tn.webp","","ขายแล้ว 35 ชิ้น","2-3 วัน"
"1730178464-6","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","🔥❤️ Matchaชาเขียวมัทฉะ ชาเขียวพร้อมชง  ชาเขียวผงเกรดพรีเมียม 100-500 กรัม(K39)","55","5.0","จังหวัดกรุงเทพมหานคร","","","https://down-th.img.susercontent.com/file/th-11134207-7ras9-m0tzyu4m4jay37_tn.webp","","ขายแล้ว 3 ชิ้น","2-3 วัน"
"1730178464-7","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7rasg-m1i3n5fnyxk966","ผงชานมมัทฉะพร้อมชง 500 กรัม (Instant Matcha Latte Powder)","149","4.9","จังหวัดกรุงเทพมหานคร","ส่งไวพิเศษโค้ดลด 5%","badge-video","https://down-th.img.susercontent.com/file/th-11134207-7r990-lrr5taw0j59qc8_tn.webp","","ขายแล้ว 19.3พัน ชิ้น","วันนี้"
"1730178464-8","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","CHADO MATCHA CREAMY  มัทฉะ ครีมมี่ ผงชาเขียว ( ตรา ชาโดะ )","160","5.0","จังหวัดกรุงเทพมหานคร","","","https://down-th.img.susercontent.com/file/th-11134207-7r98y-lzomaaf3y93575_tn.webp","","ขายแล้ว 25 ชิ้น","วันพรุ่งนี้"
"1730178464-9","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","ผงชาเขียวมัทฉะ ไร่พระจันทร์  Matcha Powder  กระปุก 100 กรัม","132","4.9","จังหวัดกรุงเทพมหานคร","","","https://down-th.img.susercontent.com/file/th-11134207-7r991-ly4n06gurf7m2f_tn.webp","","ขายแล้ว 32 ชิ้น","2-3 วัน"
"1730178464-10","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7rasg-m1i3r7g84yuh1b","ผงเครื่องดื่มสำเร็จรูป SYNOVA : มัทฉะลาเต้ปรุงสำเร็จ Premium​ Matcha​ Latte Premix (Bag-500 g.)","342","4.9","จังหวัดกรุงเทพมหานคร","ส่งไวพิเศษ","badge-video","https://down-th.img.susercontent.com/file/th-11134207-7r990-lqtzbzmm5td0b6_tn.webp","","ขายแล้ว 465 ชิ้น","2-3 วัน"
