date,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,demand
2015-01-01,13.3,26.9,23.6,0.0,N,Y,99635.03
2015-01-02,15.4,38.8,26.8,0.0,N,N,129606.00999999994
2015-01-03,20.0,38.2,26.5,0.0,N,N,142300.53999999998
2015-01-04,16.3,21.4,25.2,4.2,N,N,104330.715
2015-01-05,15.0,22.0,30.7,0.0,N,N,118132.19999999994
2015-01-06,17.7,26.0,31.6,0.0,N,N,130672.48499999994
2015-01-07,18.9,37.4,20.7,0.0,N,N,153514.82
2015-01-08,23.1,28.2,13.5,19.4,N,N,142015.65500000006
2015-01-09,16.5,18.0,3.1,1.2,N,N,121801.15499999998
2015-01-10,13.6,21.7,5.6,5.2,N,N,103043.66000000005
2015-01-11,15.6,27.5,29.9,0.0,N,N,99865.755
2015-01-12,16.1,31.3,31.6,0.0,N,N,131261.12500000006
2015-01-13,20.2,25.6,4.2,0.0,N,N,126527.35999999994
2015-01-14,18.3,22.7,15.2,15.8,N,N,119741.62
2015-01-15,15.8,20.0,14.6,0.0,N,N,118411.21999999994
2015-01-16,13.1,27.3,30.3,0.0,N,N,116690.76499999994
2015-01-17,15.9,25.0,27.5,0.0,N,N,99371.31
2015-01-18,15.3,19.5,23.4,0.0,N,N,97728.75
2015-01-19,13.5,23.6,29.0,0.0,N,N,116883.14999999998
2015-01-20,13.0,30.4,19.6,0.0,N,N,128968.125
2015-01-21,19.7,33.1,25.8,0.0,N,N,148702.505
2015-01-22,18.7,35.8,23.1,0.0,N,N,153232.1
2015-01-23,20.2,25.0,28.6,0.0,N,N,138095.19999999998
2015-01-24,15.8,26.3,30.3,0.0,N,N,116310.58999999998
2015-01-25,14.7,22.0,25.4,0.0,N,N,97959.46000000004
2015-01-26,11.6,19.8,19.9,1.0,N,Y,103769.48000000004
2015-01-27,11.7,19.1,17.7,0.6,N,N,118393.31
2015-01-28,13.3,25.4,27.0,0.0,N,N,116763.72499999998
2015-01-29,12.8,22.2,28.9,0.0,Y,N,119313.73
2015-01-30,13.1,21.0,27.6,0.0,Y,N,121018.15
2015-01-31,14.3,20.2,26.2,0.0,Y,N,103822.97
2015-02-01,13.2,19.0,17.3,9.2,Y,N,100178.84
2015-02-02,13.5,21.1,23.9,3.8,Y,N,118694.15999999996
2015-02-03,16.1,20.0,22.7,0.0,Y,N,122880.13
2015-02-04,14.8,19.0,21.2,0.0,Y,N,117398.03000000006
2015-02-05,13.3,24.2,28.8,0.0,Y,N,122279.42500000006
2015-02-06,14.5,35.7,28.4,0.0,Y,N,141837.005
2015-02-07,18.8,35.0,16.1,0.0,Y,N,132138.36500000002
2015-02-08,18.9,21.5,16.6,0.0,Y,N,112108.215
2015-02-09,13.6,28.3,28.6,0.0,Y,N,126813.07500000006
2015-02-10,16.4,27.8,27.7,0.0,Y,N,145948.56499999994
2015-02-11,18.1,26.8,24.1,0.0,Y,N,149322.85
2015-02-12,17.8,21.9,23.8,0.0,Y,N,131376.78000000006
2015-02-13,16.1,32.4,14.9,0.0,Y,N,136070.62
2015-02-14,19.0,25.1,20.8,19.6,Y,N,119692.025
2015-02-15,18.2,34.4,25.7,0.4,Y,N,125287.70999999998
2015-02-16,17.4,24.6,26.3,0.0,Y,N,131832.62999999998
2015-02-17,17.6,20.6,8.3,0.0,Y,N,127666.01
2015-02-18,17.7,21.2,7.8,0.0,Y,N,125972.765
2015-02-19,18.2,26.9,24.7,0.0,Y,N,139399.68999999994
2015-02-20,17.4,25.3,24.7,0.0,Y,N,139465.675
2015-02-21,18.1,36.1,20.0,0.0,Y,N,136283.03
2015-02-22,20.3,35.3,11.7,1.6,Y,N,138016.34999999998
2015-02-23,21.1,29.3,4.7,0.0,Y,N,135255.815
2015-02-24,15.9,20.1,21.4,3.2,Y,N,120263.51499999994
2015-02-25,14.0,27.0,24.1,0.0,Y,N,130062.75499999998
2015-02-26,16.0,23.2,18.5,0.0,Y,N,131525.85499999998
2015-02-27,14.8,24.3,21.7,0.0,Y,N,131069.4
2015-02-28,17.9,32.3,6.9,0.0,Y,N,116275.73
2015-03-01,15.2,20.8,23.3,15.8,Y,N,103462.78
